NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
r10y,2028-Q4,2.7,r10y_res,annual
r10y,2029-Q4,2.7,r10y_res,annual
r10y,2025-Q4,2.7,r10y_res,
r10y,2026-Q1,2.7,r10y_res,
r10y,2026-Q2,2.7,r10y_res,
r10y,2026-Q3,2.8,r10y_res,
r10y,2026-Q4,2.8,r10y_res,
r10y,2030-Q4,2.7,r10y_res,annual
r10y,2027-Q1,2.7,r10y_res,
r10y,2027-Q2,2.7,r10y_res,
r10y,2027-Q3,2.7,r10y_res,
r10y,2027-Q4,2.7,r10y_res,
rl,2026-Q4,2.9,rl_res,
rl,2028-Q4,2.8,rl_res,annual
rl,2029-Q4,2.8,rl_res,annual
rl,2025-Q3,3.5,rl_res,
rl,2025-Q4,3.3,rl_res,
rl,2026-Q1,3,rl_res,
rl,2026-Q2,3,rl_res,
rl,2026-Q3,3,rl_res,
rl,2030-Q4,2.8,rl_res,annual
rl,2027-Q1,2.8,rl_res,
rl,2027-Q3,2.8,rl_res,
rl,2027-Q4,2.8,rl_res,
rl,2027-Q2,2.8,rl_res,
rd,2026-Q4,1.5,rd_res,
rd,2027-Q4,1.3,rd_res,annual
rd,2028-Q4,1.2,rd_res,annual
rd,2029-Q4,1.2,rd_res,annual
rd,2025-Q3,1.8,rd_res,
rd,2025-Q4,1.7,rd_res,
rd,2026-Q1,1.5,rd_res,
rd,2026-Q2,1.5,rd_res,
rd,2026-Q3,1.5,rd_res,
rd,2027-Q1,1.4,rd_res,
rd,2027-Q2,1.4,rd_res,
rd,2027-Q3,1.3,rd_res,
rd,2030-Q4,1.2,rd_res,annual
